month,country_code,downloads
2025-03,US,802
2025-03,SG,111
2025-03,RU,90
2025-03,HK,53
2025-03,GB,36
2025-03,FR,32
2025-03,CN,31
2025-03,DE,30
2025-03,CA,30
2025-03,SE,22
2025-03,HR,20
2025-03,AT,15
2025-03,IT,10
2025-03,JP,9
2025-03,IE,8
2025-03,CH,8
2025-03,PL,7
2025-03,NO,6
2025-03,RS,5
2025-03,NL,4
2025-03,ES,3
2025-03,PT,3
2025-03,TW,2
2025-03,DK,2
2025-03,BE,2
2025-03,EU,2
2025-03,IM,1
2025-03,KH,1
2025-03,LI,1
2025-03,UA,1
2025-03,MK,1
2025-03,AU,1
2025-03,BS,1
2025-03,CY,1
2025-03,VN,1
2025-03,ME,1
2025-03,KR,1
2025-03,PH,1
2025-03,ZA,1
2025-03,BG,1
2025-03,NZ,1
2025-03,LK,1
2025-03,AD,1
2025-04,US,494
2025-04,IT,22
2025-04,CN,13
2025-04,FR,9
2025-04,RU,7
2025-04,DE,6
2025-04,CA,5
2025-04,SG,4
2025-04,BE,4
2025-04,HK,4
2025-04,IE,4
2025-04,AT,3
2025-04,KE,3
2025-04,NL,2
2025-04,HR,2
2025-04,GB,2
2025-04,TW,2
2025-04,CR,2
2025-04,CO,2
2025-04,CH,1
2025-04,JP,1
2025-05,US,59
2025-05,IT,37
2025-05,BE,24
2025-05,FR,12
2025-05,GB,2
2025-05,KE,2
2025-05,ZA,2
2025-05,CR,2
2025-05,IE,2
2025-05,CO,1
2025-05,DE,1
2025-05,RU,1
2025-06,US,238
2025-06,IT,38
2025-06,CN,35
2025-06,DE,29
2025-06,SG,24
2025-06,HK,23
2025-06,FR,15
2025-06,ES,14
2025-06,CA,11
2025-06,BE,9
2025-06,HR,8
2025-06,RU,7
2025-06,TW,6
2025-06,LV,6
2025-06,CH,5
2025-06,ID,5
2025-06,GB,5
2025-06,AT,4
2025-06,PL,4
2025-06,IN,4
2025-06,SE,4
2025-06,IE,4
2025-06,NL,3
2025-06,PE,2
2025-06,MY,2
2025-06,NO,1
2025-06,RO,1
2025-06,KZ,1
2025-06,IM,1
2025-06,AU,1
2025-07,US,225
2025-07,IT,24
2025-07,FR,13
2025-07,IE,12
2025-07,DE,11
2025-07,PE,10
2025-07,CN,8
2025-07,TH,7
2025-07,SG,4
2025-07,NL,4
2025-07,TW,4
2025-07,IN,3
2025-07,PL,3
2025-07,GB,2
2025-07,HK,2
2025-07,HR,2
2025-07,RU,2
2025-07,ID,2
2025-07,CA,2
2025-07,SE,2
2025-07,NI,1
2025-07,CO,1
2025-07,TR,1
2025-08,US,132
2025-08,HK,23
2025-08,DE,17
2025-08,FR,13
2025-08,GB,10
2025-08,SE,8
2025-08,CO,8
2025-08,BR,8
2025-08,SG,8
2025-08,CN,4
2025-08,CR,4
2025-08,PL,4
2025-08,IN,4
2025-08,NL,4
2025-08,CA,3
2025-08,IT,3
2025-08,CH,2
2025-08,RU,2
2025-08,BG,2
2025-08,JP,2
2025-08,AR,2
2025-08,PK,1
2025-08,BE,1
2025-08,BD,1
2025-08,KR,1
2025-08,KZ,1
2025-08,VN,1
2025-08,PE,1
2025-08,MA,1
2025-09,US,453
2025-09,PE,68
2025-09,FR,58
2025-09,CN,19
2025-09,BR,11
2025-09,IT,10
2025-09,NL,6
2025-09,SG,4
2025-09,ES,3
2025-09,TR,1
2025-09,AU,1
2025-09,DO,1
2025-09,EC,1
2025-09,VN,1
2025-09,GB,1
2025-09,TH,1
2025-09,CA,1
2025-09,FI,1
2025-09,BD,1
2025-09,VE,1
2025-09,SK,1
2025-10,US,337
2025-10,FR,36
2025-10,CN,31
2025-10,DE,26
2025-10,IT,20
2025-10,SG,16
2025-10,TW,14
2025-10,CA,11
2025-10,RO,10
2025-10,HK,9
2025-10,PE,8
2025-10,ES,8
2025-10,JP,7
2025-10,CH,7
2025-10,GB,6
2025-10,RU,6
2025-10,IN,4
2025-10,FI,3
2025-10,AT,3
2025-10,ZA,3
2025-10,CL,2
2025-10,AU,2
2025-10,PL,2
2025-10,NL,2
2025-10,SE,2
2025-10,MA,1
2025-10,MD,1
2025-10,VN,1
2025-10,LV,1
2025-10,BR,1
2025-11,US,493
2025-11,PE,67
2025-11,DE,56
2025-11,FR,42
2025-11,HK,36
2025-11,SG,34
2025-11,NL,31
2025-11,CN,28
2025-11,FI,27
2025-11,JP,17
2025-11,CA,17
2025-11,SE,16
2025-11,CH,14
2025-11,BR,13
2025-11,RU,13
2025-11,GB,12
2025-11,IN,11
2025-11,AT,7
2025-11,PL,6
2025-11,IT,6
2025-11,ES,5
2025-11,CL,4
2025-11,LT,3
2025-11,VN,2
2025-11,TW,2
2025-11,RO,2
2025-11,MD,1
2025-11,RS,1
2025-11,MA,1
2025-11,GT,1
2025-11,AL,1
2025-11,UA,1
2025-11,LK,1
2025-11,TR,1
2025-11,CO,1
2025-11,MT,1
2025-11,BD,1
2025-11,AM,1
2025-12,US,220
2025-12,PE,62
2025-12,HK,48
2025-12,FR,26
2025-12,DE,10
2025-12,IT,10
2025-12,GB,10
2025-12,SG,8
2025-12,CA,6
2025-12,FI,6
2025-12,PL,4
2025-12,JP,4
2025-12,BR,4
2025-12,CN,3
2025-12,CH,2
2025-12,CL,2
2025-12,TW,2
2025-12,RU,2
2025-12,SV,2
2025-12,NL,2
2025-12,IQ,1
2025-12,PA,1
2025-12,IN,1
2025-12,SN,1
2026-01,US,263
2026-01,FR,39
2026-01,CN,32
2026-01,PY,21
2026-01,DE,10
2026-01,HK,7
2026-01,KR,6
2026-01,PE,5
2026-01,CA,4
2026-01,CH,4
2026-01,GB,4
2026-01,VN,4
2026-01,NL,4
2026-01,SG,4
2026-01,IN,2
2026-01,JP,2
2026-01,TW,2
2026-01,FI,1
2026-02,US,278
2026-02,CN,74
2026-02,HK,55
2026-02,PE,47
2026-02,FR,42
2026-02,DE,31
2026-02,IT,16
2026-02,SG,14
2026-02,CH,12
2026-02,MX,11
2026-02,ZA,9
2026-02,GB,9
2026-02,NL,8
2026-02,KR,8
2026-02,VN,6
2026-02,CA,6
2026-02,IN,5
2026-02,SV,4
2026-02,FI,4
2026-02,HU,4
2026-02,SE,3
2026-02,TW,2
2026-02,CD,2
2026-02,ET,2
2026-02,PY,2
2026-02,ES,1
2026-02,AU,1
2026-02,EE,1
2026-02,AL,1
2026-02,NZ,1
2026-02,PT,1
2026-02,BG,1
